average_elo,encoded_pgn
1892.5,878 757 1857 551 368 787 1306 214 1154 111 1917 1801 817 995 615 579 481 42 42 877 234 701 1380 1349 1160 817 146 641 1249 741 1394 754 755 1952 1275 1836 1077 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1833.5,878 722 1857 1801 368 1856 1917 506 722 848 862 889 1306 214 171 1265 455 110 549 817 262 1346 2063 770 1411 1619 341 212 292 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1890.0,878 722 1857 1801 368 1856 1917 506 722 2020 817 1200 1264 2047 455 1490 366 1320 1306 214 1154 922 481 1045 697 227 709 960 390 1534 539 1953 774 1392 992 709 1128 509 995 234 453 1657 221 1022 1231 1888 592 1233 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1896.5,878 995 368 1346 722 757 1306 1801 1857 117 1411 787 787 1176 817 801 801 927 998 1419 1264 755 1420 656 35 960 1301 567 1834 1191 938 506 697 1863 226 1045 1887 1505 1896 350 366 953 1512 1922 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1956.0,1112 722 1576 1801 1927 1346 591 506 334 368 1945 812 1725 783 2052 817 999 481 1957 953 1155 302 817 1910 1909 350 388 388 752 1215 1215 186 1617 2032 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1956.0,1725 722 1112 1346 1576 1952 1927 368 591 1801 1201 350 1857 1230 1945 812 817 2014 1856 1909 679 1205 366 1856 1264 357 1306 579 787 801 952 927 998 1053 1420 117 2061 1502 1301 894 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1956.0,1725 1346 1112 995 1576 302 1927 506 591 368 1201 757 1856 787 334 350 1857 722 679 182 528 1546 748 755 598 186 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1426.0,1725 722 1112 1346 1306 506 334 1745 1201 757 752 1801 1927 783 361 817 591 1392 817 770 878 473 1432 1230 1945 33 1909 1247 1312 1764 2052 117 332 571 1857 1614 1950 1950 556 1113 2049 1900 1850 1966 1771 1997 510 1127 734 955 584 13 1067 1517 1197 1001 1307 955 1372 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1940.0,878 722 1857 1801 1300 234 368 1856 801 1176 817 350 998 506 836 551 1264 1067 617 960 146 1191 646 1872 609 1349 1775 757 246 787 1929 113 2029 1953 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1940.0,878 722 1857 234 368 1856 801 506 998 350 862 848 752 1657 528 1863 1053 1764 536 1551 1239 1664 1420 1801 862 812 885 696 1707 1013 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1940.0,878 1502 998 1346 1857 368 361 757 1306 1801 787 787 356 1863 788 1176 915 646 249 1535 1917 995 1657 783 516 1145 542 1191 224 1017 641 1266 751 432 934 2031 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1502.5,878 722 1857 1801 1917 506 455 1346 42 136 516 1145 1152 1906 388 1959 1959 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1910.0,878 1346 42 506 1167 1176 1036 136 1857 1801 368 995 1614 506 998 1462 817 770 1725 907 171 817 1264 1392 1411 328 1657 757 697 567 1896 955 586 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1573.0,878 722 1857 1801 1917 770 368 234 359 359 738 1235 679 506 998 812 851 1265 817 2014 35 767 1520 1737 129 1600 35 1053 992 1392 448 1359 1055 350 709 1430 333 859 333 1075 586 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1884.0,878 1346 42 1959 998 560 368 1502 1857 506 1917 1230 817 995 1945 350 1215 1215 1657 412 862 783 1264 481 388 242 1420 117 126 1050 573 117 1090 240 1112 1053 1614 1925 242 42 1048 2047 1431 1178 2032 641 1138 1713 1816 1953 1930 178 557 2014 7 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1506.5,1725 770 878 722 1857 1952 679 1205 1197 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1887.5,878 757 1857 234 368 787 801 506 998 1863 1411 117 1081 1801 35 412 752 1657 1036 1764 528 812 1053 1963 1363 1664 892 1505 177 551 1910 1313 615 848 1167 1953 1733 524 760 281 262 302 615 1334 698 111 1909 1275 2014 111 366 995 350 1587 2015 1312 1983 466 710 2015 1925 887 4 1449 1888 1336 1731 0 -1 -1
1374.5,878 722 1857 506 679 1313 615 1346 334 1745 473 473 1277 1176 639 639 1917 1265 817 817 998 880 35 1863 249 1320 1313 978 734 936 1520 55 1747 956 1186 1313 1264 381 1186 201 83 1614 210 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1374.5,878 722 1857 1801 1917 506 368 801 801 1856 722 1200 927 757 28 182 998 1346 1959 812 965 1045 129 1713 146 1368 680 1045 738 1075 845 1587 1200 551 506 449 1707 381 187 1906 333 1075 201 1906 773 1587 1517 1191 848 1001 442 1191 506 350 475 1614 767 1306 2061 796 1873 2014 1863 1909 84 366 931 0 -1 -1
1507.0,1725 722 1927 1346 591 506 1112 1265 1576 878 1201 817 1945 1745 361 1801 817 1873 368 783 1614 740 1950 1392 583 812 1346 388 242 1657 288 1502 1217 1872 499 281 615 2014 510 1909 734 322 1313 997 1427 2004 734 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1912.0,878 722 1857 1801 1917 506 334 1265 1306 1863 817 268 368 817 146 770 1619 234 359 679 679 359 615 1230 262 1436 2005 973 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1921.5,878 722 1857 1801 1917 506 334 770 230 960 1306 1863 817 1764 851 922 368 1856 787 1313 1313 877 369 1346 2047 1269 1983 551 615 1801 1657 801 528 1520 1202 1216 598 812 1253 1713 1411 880 1807 602 17 1611 332 121 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1862.5,878 1502 998 1346 1857 1230 1945 1427 1242 995 1036 506 722 1472 368 757 136 42 1959 1801 33 551 1230 960 995 1713 129 801 269 1191 594 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
